tiempo,import_diversity_lan,export_diversity_lan,import_diversity_w,export_diversity_w
1995,1047.0248039817498,432.51082993147645,1178.94285844705,1178.94285844705
1996,988.3904892815771,389.96608847863223,1103.9862409561065,1103.9862409561065
1997,1023.7759536038383,404.1003362687202,1074.5704943455698,1074.5704943455698
1998,1068.3641566077024,468.31913262335917,1110.451932302994,1110.451932302994
1999,996.785599165726,427.3147833114552,996.6744239034314,996.6744239034314
2000,872.5006888613013,345.5055986646762,857.4677670176353,857.4677670176353
2001,909.1817192648954,377.7596423671152,904.1807979999855,904.1807979999855
2002,896.3102396997216,369.6401980842992,903.2321629750957,903.2321629750957
2003,855.129157070413,361.8736480894409,879.670057514448,879.670057514448
2004,831.2627892905581,352.99341351275314,846.6027750371057,846.6027750371057
2005,760.8897020166834,316.6406497139805,780.6912527626904,780.6912527626904
2006,727.4363829911216,272.14312001329665,735.2359185148324,735.2359185148324
2007,747.0316964022653,282.61212689035005,756.9535441495343,756.9535441495343
2008,681.8996298755168,252.14645387009648,677.8062068946549,677.8062068946549
2009,748.8142865533938,277.6953557618887,759.467386600294,759.467386600294
2010,692.1883512700715,243.862899681117,693.1891305623138,693.1891305623138
2011,625.4768532928554,215.55761813850668,652.8808214369235,652.8808214369235
2012,641.886956073678,214.77864166019214,607.7416325914002,607.7416325914002
2013,637.6724967065983,215.78035136418387,615.9506770303318,615.9506770303318
2014,649.8423102653421,251.2356138998864,661.1981004165659,661.1981004165659
2015,755.999447469247,326.04712973163055,780.1951468572992,780.1951468572992
2016,752.2401893930776,337.86444862340056,789.2267827999748,789.2267827999748
2017,680.1676391878899,308.9322960374572,735.4357324343373,735.4357324343373
2018,637.8887804284761,284.4491350356678,692.5790484007237,692.5790484007237
2019,634.0365920093298,301.5732104659169,702.6565618680694,702.6565618680694
2020,695.4764268747291,309.02018491042895,740.3529053802208,740.3529053802208
2021,648.016435845108,284.18057694740685,699.4435179270139,699.4435179270139
2022,564.5735178883215,273.3176931134079,597.7389548799596,597.7389548799596
