countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
USA,2021,70248.6290002242,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2020,63530.633483909,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2019,65120.3946628653,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2018,62823.309438197,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2017,59907.754260885,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2016,57866.7449341091,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2015,56762.7294515989,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2014,55123.8497869046,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2013,53291.1276891406,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2012,51784.4185738837,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2011,50065.9665041742,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2010,48650.6431283336,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2009,47194.9433547336,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2008,48570.0459804586,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2007,48050.2237771135,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2006,46302.0008800056,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2005,44123.4070679055,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2004,41724.6316287624,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2003,39490.2749557007,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2002,37997.7596573051,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2001,37133.623113437,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,2000,36329.9560727102,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,1999,34515.3902272076,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,1998,32853.6769523009,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,1997,31459.1389804773,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,1996,29967.7127181749,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
USA,1995,28690.8757013347,,,1,NY.GDP.PCAP.CD,GDP per capita (current US$),US,United States
